Variable,Year,Maximum permissible F,Author's F (Estimated catches),Author's F (Fraction of F40%),Half maximum F,5-year average F,No fishing,Overfished,Approaching overfished
Spawning Biomass (t),2019,12477,12477,12477,12477,12477,12477,12477,12477
Spawning Biomass (t),2020,12460.9,12460.9,12460.9,12460.9,12460.9,12460.9,12286.9,12328.300000000001
Spawning Biomass (t),2021,12395.9,12497,12496,12497.400000000001,12497.7,12599.7,11950,12086
Spawning Biomass (t),2022,12168.699999999999,12507.7,12502.5,12507.199999999999,12508.1,12855.3,11645.8,11830.5
Spawning Biomass (t),2023,11971.9,12440.4,12531.3,12539.400000000001,12540.900000000001,13134.5,11378.5,11554.7
Spawning Biomass (t),2024,11788,12238.2,12562.900000000001,12574.1,12576.3,13414.9,11131.5,11298.6
Spawning Biomass (t),2025,11641.5,12072.699999999999,12623.8,12638.199999999999,12641,13724.9,10927,11085
Spawning Biomass (t),2026,11507.5,11919,12691,12708.3,12711.800000000001,14042.400000000001,10739.4,10888.3
Spawning Biomass (t),2027,11366.6,11757.5,12744.7,12764.900000000001,12769.199999999999,14347.4,10549,10688.9
Spawning Biomass (t),2028,11216.5,11586.4,12779.7,12802.5,12807.800000000001,14630.9,10354.4,10485.300000000001
Spawning Biomass (t),2029,11055.400000000001,11404.400000000001,12793.4,12818.300000000001,12824.9,14888.5,10153.6,10275.800000000001
Spawning Biomass (t),2030,10890.4,11218.8,12793.2,12819.3,12827.9,15127.4,9953.68,10067.3
Spawning Biomass (t),2031,10727.800000000001,11036.199999999999,12785.3,12812.099999999999,12823.2,15353.400000000001,9760.220000000001,9865.69
Spawning Biomass (t),2032,10552.199999999999,10840.5,12749.7,12774.4,12790.5,15539.7,9559.03,9656.74
Fishing Mortality,2019,0.0258654,0.0258654,0.0258654,0.0258654,0.0258654,0.0258654,0.0258654,0.0258654
Fishing Mortality,2020,0.0137612,0.0137612,0.0137612,0.0137612,0.0137612,0.0137612,0.048207,0.0399646
Fishing Mortality,2021,0.0399647,0.020065,0.0202581,0.0199823,0.0199282,0,0.048207,0.0399647
Fishing Mortality,2022,0.0399647,0.0196889,0.0202581,0.0199823,0.0199282,0,0.048207,0.048207
Fishing Mortality,2023,0.0399647,0.0399647,0.0202581,0.0199823,0.0199282,0,0.048207,0.048207
Fishing Mortality,2024,0.0399647,0.0399647,0.0202581,0.0199823,0.0199282,0,0.048207,0.048207
Fishing Mortality,2025,0.0399647,0.0399647,0.0202581,0.0199823,0.0199282,0,0.048207,0.048207
Fishing Mortality,2026,0.0399647,0.0399647,0.0202581,0.0199823,0.0199282,0,0.048207,0.048207
Fishing Mortality,2027,0.0399647,0.0399647,0.0202581,0.0199823,0.0199282,0,0.048207,0.048207
Fishing Mortality,2028,0.0399647,0.0399647,0.0202581,0.0199823,0.0199282,0,0.048207,0.048207
Fishing Mortality,2029,0.0399647,0.0399647,0.0202581,0.0199823,0.0199282,0,0.048207,0.048207
Fishing Mortality,2030,0.0399647,0.0399647,0.0202581,0.0199823,0.0199282,0,0.048207,0.048207
Fishing Mortality,2031,0.0399647,0.0399647,0.0202581,0.0199823,0.0199282,0,0.048207,0.048207
Fishing Mortality,2032,0.0399647,0.0399647,0.0202581,0.0199823,0.0199282,0,0.048207,0.048207
Yield (t),2019,790.419,790.419,790.419,790.419,790.419,790.419,790.419,790.419
Yield (t),2020,418.805,418.805,418.805,418.805,418.805,418.805,1442.95,1200.99
Yield (t),2021,1208.5900000000001,612.64,618.4770000000001,610.139,608.503,0,1405.6200000000001,1179.05
Yield (t),2022,1194.02,605.2539999999999,622.4680000000001,614.235,612.619,0,1379.92,1401.01
Yield (t),2023,1164.3600000000001,1208.76,618.126,610.1039999999999,608.5310000000001,0,1336.95,1356.67
Yield (t),2024,1148.93,1190.85,620.379,612.467,610.924,0,1311.8300000000002,1330.26
Yield (t),2025,1150.82,1190.37,631,623.073,621.544,0,1308.01,1325.25
Yield (t),2026,1176.07,1213.4199999999998,653.464,645.35,643.817,0,1332.36,1348.49
Yield (t),2027,1144.8799999999999,1179.97,646.63,638.7159999999999,637.2600000000001,0,1289.52,1304.54
Yield (t),2028,1115.25,1148.16,639.886,632.1940000000001,630.7819999999999,0,1249.2700000000002,1263.21
Yield (t),2029,1093.61,1124.44,636.605,629.072,627.702,0,1219.23,1232.17
Yield (t),2030,1074.16,1103,633.879,626.491,625.161,0,1192.34,1204.33
Yield (t),2031,1052.78,1079.72,629.6,622.374,621.084,0,1163.6100000000001,1174.7099999999998
Yield (t),2032,1033.5700000000002,1058.71,625.891,618.451,617.559,0,1137.96,1148.22
